MovieName,MovieYear,Top Four Movies
14. Inception,Christopher Nolan,"Tenet,Interstellar,Inception,The Prestige"
11. Forrest Gump,Robert Zemeckis,"Back to the Future,Forrest Gump,Contact,Flight"
13. Fight Club,David Fincher,"Se7en,Zodiac,Gone Girl,The Social Network"
9. The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"The Lord of the Rings: The Fellowship of the Ring,Bad Taste,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Return of the King"
8. Pulp Fiction,Quentin Tarantino,"Reservoir Dogs,Pulp Fiction,Once Upon a Time... In Hollywood,From Dusk Till Dawn"
"10. Il Buono, Il Brutto, Il Cattivo",Sergio Leone,"Once Upon a Time in America,Fistful of Dynamite,A Fistful of Dollars,C'era Una Volta Il West"
1. The Shawshank Redemption,Frank Darabont,"The Shawshank Redemption,The Green Mile,The Mist,The Walking Dead"
3. The Dark Knight,Christopher Nolan,"Tenet,Interstellar,Inception,The Prestige"
7. The Lord of the Rings: The Return of the King,Peter Jackson,"The Lord of the Rings: The Fellowship of the Ring,Bad Taste,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Return of the King"
28. The Green Mile,Frank Darabont,"The Shawshank Redemption,The Green Mile,The Mist,The Walking Dead"
6. Schindler's List,Steven Spielberg,"Schindler's List,E.T. The Extra-Terrestrial,Saving Private Ryan,Raiders of the Lost Ark"
2. The Godfather,Francis Ford Coppola,"Apocalypse Now,The Conversation,The Godfather,The Godfather: Part II"
4. The Godfather: Part II,Francis Ford Coppola,"Apocalypse Now,The Conversation,The Godfather,The Godfather: Part II"
12. The Lord of the Rings: The Two Towers,Peter Jackson,"The Lord of the Rings: The Fellowship of the Ring,Bad Taste,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Return of the King"
249. Dances with Wolves,Kevin Costner,"The Postman,Dances with Wolves,Robin Hood: Prince of Thieves,The Bodyguard"
5. 12 Angry Men,Sidney Lumet,"12 Angry Men,Before the Devil Knows You're Dead,Serpico,Dog Day Afternoon"
29. Terminator 2: Judgment Day,James Cameron,"Avatar: The Way of Water,Avatar,Alien 2,Titanic"
"250. Paris, Texas",Wim Wenders,"Wings of Desire,Perfect Days,Paris, Texas,Bis ans Ende der Welt"
248. Aladdin,Ron Clements,"Hercules,Aladdin,The Princess and the Frog,Moana"
247. It Happened One Night,Frank Capra,"It's a Wonderful Life,It Happened One Night,You Can't Take It with You,Mr. Smith Goes to Washington"
246. The Help,Tate Taylor,"Get on Up,The Help,The Girl on the Train,Ma"
244. Cool Hand Luke,Stuart Rosenberg,"Cool Hand Luke,Question 7,The Defenders,The Amityville Horror"
243. Rebecca,Alfred Hitchcock,"Psycho,North by Northwest,Vertigo,The Birds"
240. La battaglia di Algeri,Gillo Pontecorvo,"La battaglia di Algeri,Ogro,Kapò,Burn!"
245. The Iron Giant,Brad Bird,"The Incredibles,Ratatouille,Incredibles 2,The Iron Giant"
239. The Grapes of Wrath,John Ford,"The Man Who Didn't Talk Too Much,The Grapes of Wrath,How Green Was My Valley,Stagecoach"
242. Amores perros,Alejandro G. Iñárritu,"Biutiful,The Revenant,Birdman or (The Unexpected Virtue of Ignorance),Babel"
236. My Father and My Son,Çagan Irmak,"My Father and My Son,Alone,Ulak,Dedemin Insanlari"
238. To Be or Not to Be,Ernst Lubitsch,"To Be or Not to Be,The Shop Around the Corner,Heaven Can Wait,The Patriot"
233. Hachi: A Dog's Tale,Lasse Hallström,"What's Eating Gilbert Grape,Chocolat,Mitt liv som hund,The Cider House Rules"
241. Groundhog Day,Harold Ramis,"Ghostbusters,Groundhog Day,Stripes,Knocked Up"
234. Ah-ga-ssi,Park Chan-wook,"Ah-ga-ssi,Oldeuboi,Decision to Leave,Bakjwi"
235. Into the Wild,Sean Penn,"Mystic River,21 Grams,Milk,Dead Man Walking"
232. The Incredibles,Brad Bird,"The Incredibles,Ratatouille,Incredibles 2,The Iron Giant"
229. Network,Sidney Lumet,"12 Angry Men,Before the Devil Knows You're Dead,Serpico,Dog Day Afternoon"
230. Stand by Me,Rob Reiner,"All in the Family,Spinal Tap,The Wolf of Wall Street,The Story of Us"
231. The Wizard of Oz,Victor Fleming,"Gone with the Wind,The Wizard of Oz,Captains Courageous,A Guy Named Joe"
237. The Sound of Music,Robert Wise,"West Side Story,The Sound of Music,The Andromeda Strain,The Haunting"
228. Jai Bhim,T.J. Gnanavel,"Jai Bhim,Kootathil Oruthan,Vettaiyan,Payanam"
226. Pirates of the Caribbean: The Curse of the Black Pearl,Gore Verbinski,"Rango,Pirates of the Caribbean: The Curse of the Black Pearl,A Cure for Wellness,The Lone Ranger"
224. The Best Years of Our Lives,William Wyler,"The Best Years of Our Lives,Ben-Hur,Roman Holiday,The Big Country"
227. Rush,Ron Howard,"Arrested Development,A Beautiful Mind,The Shootist,Apollo 13"
220. The Terminator,James Cameron,"Avatar: The Way of Water,Avatar,Alien 2,Titanic"
222. Before Sunset,Richard Linklater,"Waking Life,Before Midnight,Boyhood,A Scanner Darkly"
221. La passion de Jeanne d'Arc,Carl Theodor Dreyer,"Gertrud,Vampyr,Ordet,La passion de Jeanne d'Arc"
223. La haine,Mathieu Kassovitz,"Le fabuleux destin d'Amélie Poulain,La haine,The Fifth Element,Crimson Rivers"
225. The Exorcist,William Friedkin,"To Live and Die in L.A.,The French Connection,The Exorcist,Cruising"
217. Spotlight,Tom McCarthy,"The Station Agent,Win Win,The Visitor,Spotlight"
218. Hotel Rwanda,Terry George,"Hotel Rwanda,In the Name of the Father,Some Mother's Son,The Promise"
216. Logan,James Mangold,"Logan,Ford v. Ferrari,Walk the Line,Indiana Jones and the Dial of Destiny"
212. Room,Lenny Abrahamson,"Room,Frank,Normal People,Adam & Paul"
215. Rocky,John G. Avildsen,"Rocky,Rocky V,The Karate Kid Part III,The Karate Kid"
214. Det Sjunde Inseglet,Ingmar Bergman,"Smultronstället,Fanny Och Alexander,Det Sjunde Inseglet,Cries & Whispers"
213. Tokyo Story,Yasujirô Ozu,"Tokyo Story,Banshun,Bakushû,Akibiyori"
219. Platoon,Oliver Stone,"JFK,Platoon,Natural Born Killers,Born on the Fourth of July"
211. The Big Lebowski,Joel Coen,"The Ballad of Buster Scruggs,The Tragedy of Macbeth,Inside Llewyn Davis,A Serious Man"
209. Ratatouille,Brad Bird,"The Incredibles,Ratatouille,Incredibles 2,The Iron Giant"
208. Mr. Smith Goes to Washington,Frank Capra,"It's a Wonderful Life,It Happened One Night,You Can't Take It with You,Mr. Smith Goes to Washington"
210. Ford v. Ferrari,James Mangold,"Logan,Ford v. Ferrari,Walk the Line,Indiana Jones and the Dial of Destiny"
203. Smultronstället,Ingmar Bergman,"Smultronstället,Fanny Och Alexander,Det Sjunde Inseglet,Cries & Whispers"
205. Jaws,Steven Spielberg,"Schindler's List,E.T. The Extra-Terrestrial,Saving Private Ryan,Raiders of the Lost Ark"
206. How to Train Your Dragon,Dean DeBlois,"Lilo & Stitch,How to Train Your Dragon,How to Train Your Dragon 2,How to Train Your Dragon: The Hidden World"
204. Le Salaire De La Peur,Henri-Georges Clouzot,"Le Salaire De La Peur,Les diaboliques,Manon,Quai des Orfèvres"
"200. Monsters, Inc.",Pete Docter,"Up,Inside Out,Soul,WALL·E"
196. The General,Clyde Bruckman,"The General,Sherlock Jr.,The Navigator,Our Hospitality"
202. The Third Man,Carol Reed,"The Third Man,Oliver!,The Fallen Idol,Odd Man Out"
198. Relatos Salvajes,Damián Szifron,"Relatos Salvajes,Misanthrope,Los Simuladores,El fondo del mar"
201. Sherlock Jr.,Buster Keaton,"The General,The Navigator,Sherlock Jr.,Seven Chances"
197. The Deer Hunter,Michael Cimino,"The Deer Hunter,Silent Running,Heaven's Gate,Year of the Dragon"
207. Mary and Max,Adam Elliot,"Mary and Max,Harvie Krumpet,Brother,Cousin"
199. Mad Max: Fury Road,George Miller,"Mad Max: Fury Road,The Road Warrior,Mad Max,Happy Feet"
194. Dead Poets Society,Peter Weir,"Master and Commander: The Far Side of the World,The Way Back,Witness,Dead Poets Society"
195. On the Waterfront,Elia Kazan,"On the Waterfront,East of Eden,A Streetcar Named Desire,Anatolian Smile"
193. In the Name of the Father,Jim Sheridan,"In America,In the Name of the Father,My Left Foot: The Story of Christy Brown,Brothers"
189. Gone Girl,David Fincher,"Se7en,Zodiac,Gone Girl,The Social Network"
192. Salinui Chueok,Bong Joon Ho,"Snowpiercer,Okja,Parasite,Madeo"
191. The Gold Rush,Charles Chaplin,"The Great Dictator,Modern Times,Limelight,City Lights"
186. Ben-Hur,William Wyler,"The Best Years of Our Lives,Ben-Hur,Roman Holiday,The Big Country"
188. Barry Lyndon,Stanley Kubrick,"2001: A Space Odyssey,Barry Lyndon,A Clockwork Orange,Full Metal Jacket"
190. Hacksaw Ridge,Mel Gibson,"Braveheart,Lethal Weapon 3,Conspiracy Theory,Ransom"
183. 12 Years a Slave,Steve McQueen,"12 Years a Slave,Shame,Hunger,Widows"
185. Before Sunrise,Richard Linklater,"Waking Life,Before Midnight,Boyhood,A Scanner Darkly"
182. Bacheha-Ye Aseman,Majid Majidi,"Bacheha-Ye Aseman,Baran,Khorshid,Rang-e khoda"
187. The Grand Budapest Hotel,Wes Anderson,"Fantastic Mr. Fox,The Royal Tenenbaums,Isle of Dogs,The French Dispatch"
181. Harry Potter and the Deathly Hallows: Part 2,David Yates,"Harry Potter and the Order of the Phoenix,Harry Potter and the Deathly Hallows: Part 2,The Legend of Tarzan,Harry Potter and the Deathly Hallows: Part 1"
176. Catch Me If You Can,Steven Spielberg,"Schindler's List,E.T. The Extra-Terrestrial,Saving Private Ryan,Raiders of the Lost Ark"
179. My Neighbour Totoro,Hayao Miyazaki,"Spirited Away,My Neighbour Totoro,Hauru No Ugoku Shiro,Mononoke-hime"
178. Gran Torino,Clint Eastwood,"Million Dollar Baby,Gran Torino,Unforgiven,Sacrifice"
184. Blade Runner,Ridley Scott,"The Martian,Blade Runner,Thelma & Louise,Gladiator"
180. Million Dollar Baby,Clint Eastwood,"Million Dollar Baby,Gran Torino,Unforgiven,Sacrifice"
177. Godzilla Minus One,Takashi Yamazaki,"Godzilla Minus One,The Eternal Zero,Always san-chôme no yûhi,Parasyte Part 1"
173. Fargo,Joel Coen,"The Ballad of Buster Scruggs,The Tragedy of Macbeth,Inside Llewyn Davis,A Serious Man"
175. Warrior,Gavin O'Connor,"The Accountant,Pride and Glory,Warrior,Tumbleweeds"
174. Klaus,Sergio Pablos,"Klaus,Despicable Me,Treasure Planet,Smallfoot"
172. Spider-Man: No Way Home,Jon Watts,"Cop Car,Spider-Man: No Way Home,The Old Man,The Onion News Network"
171. The Bridge on the River Kwai,David Lean,"Lawrence of Arabia,Zimtor the Unspongeable.,The Bridge on the River Kwai,Great Expectations"
"169. Three Billboards Outside Ebbing, Missouri",Martin McDonagh,"In Bruges,Seven Psychopaths,Three Billboards Outside Ebbing, Missouri,The Banshees of Inisherin"
167. Inside Out,Pete Docter,"Up,Inside Out,Soul,WALL·E"
170. Trainspotting,Danny Boyle,"127 Hours,28 Days Later...,Shallow Grave,Slumdog Millionaire"
168. Raging Bull,Martin Scorsese,"Killers of the Flower Moon,Taxi Driver,Mean Streets,GoodFellas"
163. Gone with the Wind,Victor Fleming,"Gone with the Wind,The Wizard of Oz,Captains Courageous,A Guy Named Joe"
166. El Secreto De Sus Ojos,Juan José Campanella,"El Secreto De Sus Ojos,El hombre de tu vida,El cuento de las comadrejas,El mismo amor, la misma lluvia"
164. V for Vendetta,James McTeigue,"V for Vendetta,The Raven,Survivor,Ninja Assassin"
159. Hauru No Ugoku Shiro,Hayao Miyazaki,"Spirited Away,My Neighbour Totoro,Hauru No Ugoku Shiro,Mononoke-hime"
"165. Lock, Stock and Two Smoking Barrels",Guy Ritchie,"Sherlock Holmes,Lock, Stock and Two Smoking Barrels,Snatch,The Man from U.N.C.L.E."
158. Prisoners,Denis Villeneuve,"Dune,Blade Runner 2049,Arrival,Incendies"
162. Dial M for Murder,Alfred Hitchcock,"Psycho,North by Northwest,Vertigo,The Birds"
160. The Elephant Man,David Lynch,"Twin Peaks,Inland Empire,Twin Peaks: Fire Walk with Me,Mulholland Dr."
157. Rashōmon,Akira Kurosawa,"The Hidden Fortress,Kagemusha,Ran,Shichinin No Samurai"
161. Chinatown,Roman Polanski,"Chinatown,Le locataire,The Ghost Writer,Rosemary's Baby"
156. Finding Nemo,Andrew Stanton,"WALL·E,Finding Nemo,Finding Dory,A Bug's Life"
155. The Great Escape,John Sturges,"The Great Escape,The Magnificent Seven,Bad Day at Black Rock,Gunfight at the O.K. Corral"
154. Monty Python and the Holy Grail,Terry Gilliam,"Brazil,Monty Python and the Holy Grail,Time Bandits,The Imaginarium of Doctor Parnassus"
153. Yojimbo,Akira Kurosawa,"The Hidden Fortress,Kagemusha,Ran,Shichinin No Samurai"
147. Unforgiven,Clint Eastwood,"Million Dollar Baby,Gran Torino,Unforgiven,Sacrifice"
152. Kill Bill: Vol. 1,Quentin Tarantino,"Reservoir Dogs,Pulp Fiction,Once Upon a Time... In Hollywood,From Dusk Till Dawn"
149. A Beautiful Mind,Ron Howard,"Arrested Development,A Beautiful Mind,The Shootist,Apollo 13"
148. No Country for Old Men,Ethan Coen,"The Ballad of Buster Scruggs,Inside Llewyn Davis,A Serious Man,No Country for Old Men"
145. The Sixth Sense,M. Night Shyamalan,"Lady in the Water,Signs,The Village,The Sixth Sense"
143. Ran,Akira Kurosawa,"The Hidden Fortress,Kagemusha,Ran,Shichinin No Samurai"
151. The Treasure of the Sierra Madre,John Huston,"The Treasure of the Sierra Madre,Chinatown,The Asphalt Jungle,Prizzi's Honor"
144. Jurassic Park,Steven Spielberg,"Schindler's List,E.T. The Extra-Terrestrial,Saving Private Ryan,Raiders of the Lost Ark"
146. El Laberinto Del Fauno,Guillermo del Toro,"El Laberinto Del Fauno,Hellboy,Guillermo Del Toro's Pinocchio,Pacific Rim"
150. The Thing,John Carpenter,"The Fog,Halloween,Dark Star,New York 1997"
142. Casino,Martin Scorsese,"Killers of the Flower Moon,Taxi Driver,Mean Streets,GoodFellas"
141. There Will Be Blood,Paul Thomas Anderson,"Punch-Drunk Love,Boogie Nights,There Will Be Blood,Inherent Vice"
140. Shutter Island,Martin Scorsese,"Killers of the Flower Moon,Taxi Driver,Mean Streets,GoodFellas"
139. Top Gun: Maverick,Joseph Kosinski,"Top Gun: Maverick,Only the Brave,Oblivion,Tron"
137. All About Eve,Joseph L. Mankiewicz,"All About Eve,Cleopatra,A Letter to Three Wives,Sleuth"
135. The Father,Florian Zeller,"The Father,The Son"
134. The Kid,Charles Chaplin,"The Great Dictator,Modern Times,Limelight,City Lights"
136. Judgment at Nuremberg,Stanley Kramer,"Judgment at Nuremberg,Guess Who's Coming to Dinner,Inherit the Wind,The Defiant Ones"
130. Batman Begins,Christopher Nolan,"Tenet,Interstellar,Inception,The Prestige"
129. Per qualche dollaro in più,Sergio Leone,"Once Upon a Time in America,Fistful of Dynamite,A Fistful of Dollars,C'era Una Volta Il West"
126. Taxi Driver,Martin Scorsese,"Killers of the Flower Moon,Taxi Driver,Mean Streets,GoodFellas"
131. The Wolf of Wall Street,Martin Scorsese,"Killers of the Flower Moon,Taxi Driver,Mean Streets,GoodFellas"
132. Some Like It Hot,Billy Wilder,"The Apartment,Some Like It Hot,Sabrina,Sunset Blvd."
128. Dangal,Nitesh Tiwari,"Dangal,Chhichhore,Bawaal,Bareilly Ki Barfi"
127. Der Untergang,Oliver Hirschbiegel,"Das Experiment,Der Untergang,Five Minutes of Heaven,The Invasion"
125. 1917,Sam Mendes,"1917,Road to Perdition,Skyfall,Revolutionary Road"
133. Green Book,Peter Farrelly,"Green Book,There's Something About Mary,Dumb and Dumber,Movie 43"
124. Ladri Di Biciclette,Vittorio De Sica,"Ladri Di Biciclette,Umberto D.,L'oro di Napoli,General Della Rovere"
123. L.A. Confidential,Curtis Hanson,"L.A. Confidential,In Her Shoes,The Hand That Rocks the Cradle,8 Mile"
121. Snatch,Guy Ritchie,"Sherlock Holmes,Lock, Stock and Two Smoking Barrels,Snatch,The Man from U.N.C.L.E."
122. Hamilton,Thomas Kail,"Hamilton,Fosse/Verdon,Grease Live!,Fiddler on the Roof"
119. Metropolis,Fritz Lang,"Contempt,M - Eine Stadt sucht einen Mörder,Metropolis,Scarlet Street"
118. Die Hard,John McTiernan,"Die Hard,Rollerball,Last Action Hero,Predator"
120. Taare Zameen Par,Aamir Khan,"Taare Zameen Par,Lagaan: Once Upon a Time in India,Dangal,PK"
117. Indiana Jones and the Last Crusade,Steven Spielberg,"Schindler's List,E.T. The Extra-Terrestrial,Saving Private Ryan,Raiders of the Lost Ark"
116. Jodaeiye Nader Az Simin,Asghar Farhadi,"The Salesman,About Elly,Jodaeiye Nader Az Simin,The Past"
114. To Kill a Mockingbird,Robert Mulligan,"To Kill a Mockingbird,Summer of '42,The Other,The Nickel Ride"
111. A Clockwork Orange,Stanley Kubrick,"2001: A Space Odyssey,Barry Lyndon,A Clockwork Orange,Full Metal Jacket"
115. The Sting,George Roy Hill,"The Sting,Butch Cassidy and the Sundance Kid,Slap Shot,Slaughterhouse-Five"
113. Up,Pete Docter,"Up,Inside Out,Soul,WALL·E"
107. Double Indemnity,Billy Wilder,"The Apartment,Some Like It Hot,Sabrina,Sunset Blvd."
110. Full Metal Jacket,Stanley Kubrick,"2001: A Space Odyssey,Barry Lyndon,A Clockwork Orange,Full Metal Jacket"
112. Heat,Michael Mann,"The Insider,Collateral,The Last of the Mohicans,Thief"
109. Le fabuleux destin d'Amélie Poulain,Jean-Pierre Jeunet,"A Very Long Engagement,Le fabuleux destin d'Amélie Poulain,Delicatessen,La cité des enfants perdus"
106. M - Eine Stadt sucht einen Mörder,Fritz Lang,"Contempt,M - Eine Stadt sucht einen Mörder,Metropolis,Scarlet Street"
105. Vertigo,Alfred Hitchcock,"Psycho,North by Northwest,Vertigo,The Birds"
108. Scarface,Brian De Palma,"Body Double,Dressed to Kill,The Untouchables,Carrie"
104. Incendies,Denis Villeneuve,"Dune,Blade Runner 2049,Arrival,Incendies"
102. North by Northwest,Alfred Hitchcock,"Psycho,North by Northwest,Vertigo,The Birds"
101. The Apartment,Billy Wilder,"The Apartment,Some Like It Hot,Sabrina,Sunset Blvd."
100. Lawrence of Arabia,David Lean,"Lawrence of Arabia,Zimtor the Unspongeable.,The Bridge on the River Kwai,Great Expectations"
98. Reservoir Dogs,Quentin Tarantino,"Reservoir Dogs,Pulp Fiction,Once Upon a Time... In Hollywood,From Dusk Till Dawn"
